127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 304, 0.002210
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 304, 0.003444
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001916
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002182
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002319
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001925
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002059
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.001556
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.004457
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 304, 0.002231
127.0.0.1, 2019-07-08 11:04:43, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.012745
127.0.0.1, 2019-07-08 11:04:44, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 304, 0.002244
127.0.0.1, 2019-07-08 11:04:54, GET, /, HTTP/1.1, 303, 0.002239
127.0.0.1, 2019-07-08 11:04:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.131448
127.0.0.1, 2019-07-08 11:04:55, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001913
127.0.0.1, 2019-07-08 11:06:49, GET, /admin/default/site, HTTP/1.1, 303, 0.014718
127.0.0.1, 2019-07-08 11:06:50, GET, /admin/default/index, HTTP/1.1, 200, 0.064413
